,"Social Tax Rate (ST 1987) — Shaikh & Tonak 1987; share; period=[1952, 1985]; series_status=book_period_validated"
Year,ES1103-A
1952,0.270987012987013
1953,0.2685086968919304
1954,0.2615848064978499
1955,0.2658879249291785
1956,0.2715628830595734
1957,0.277747905027933
1958,0.2753826609177702
1959,0.2857690940122315
1960,0.3008009168745365
1961,0.3016733211153292
1962,0.3079381222894142
1963,0.3141508451030331
1964,0.2993579341761233
1965,0.2978980541243559
1966,0.3103097415058133
1967,0.3161133075370121
1968,0.3283482619301722
1969,0.3424499887615194
1970,0.3313000371993724
1971,0.3269002229400792
1972,0.3389072482925754
1973,0.3401767897346308
1974,0.342602519943004
1975,0.3285492473753004
1976,0.3337471286099164
1977,0.3364838265540276
1978,0.3356307034899904
1979,0.3375544454874614
1980,0.3353898743758469
1981,0.3511107053739882
1982,0.3438793713719383
1983,0.340359528876132
1984,0.3420168659352374
1985,0.3493316297438279
1986,0.3504453691168273
1987,0.3583535732877221
1988,0.3566599428591099
1989,0.3627443325755116
