,"Personal Tax Workers — S&T 1994; billions_usd; period=[1952, 1989]; series_status=book_period_validated"
Year,S601-A
1952,22.7849
1953,23.9122
1954,21.3699
1955,23.3723
1956,26.2177
1957,27.7473
1958,26.9229
1959,30.0037
1960,32.8791
1961,33.2915
1962,36.5301
1963,38.7915
1964,37.0634
1965,40.9664
1966,48.0709
1967,52.8026
1968,63.1653
1969,76.3172
1970,74.2717
1971,72.50689999999999
1972,88.26339999999999
1973,94.3257
1974,107.1142
1975,102.1023
1976,120.4668
1977,139.0352
1978,162.2527
1979,190.7355
1980,209.0304
1981,238.099
1982,240.7356
1983,238.1733
1984,254.6356
1985,283.1352
1986,298.2774
1987,337.7045
1988,348.48
1989,385.7297
