,"Total Tax Workers (T_w = sum) — S&T 1994; billions_usd; period=[1952, 1989]; series_status=calculated"
Year,S604-A
1952,53.2083
1953,56.4996
1954,54.7497
1955,60.0694
1956,66.4623
1957,71.59230000000001
1958,71.5334
1959,80.3697
1960,89.2356
1961,92.1793
1962,100.8251
1963,108.5454
1964,111.0588
1965,119.1056
1966,137.45170000000002
1967,150.31820000000002
1968,172.2909
1969,198.0628
1970,204.8395
1971,215.5482
1972,246.128
1973,276.5059
1974,305.3582
1975,311.6881
1976,353.05440000000004
1977,395.9136
1978,446.1304
1979,503.4287
1980,549.4424
1981,634.601
1982,655.7814000000001
1983,687.7645
1984,757.2014
1985,827.0600999999999
1986,880.1085
1987,963.7561
1988,1036.1328
1989,1116.8898000000002
