source=S&T 1994|units=share|description=Book Table 6.4,source=S&T 1994|units=share|description=Full series
year,T609-A,T609-COMBINED
1952,-0.0337,-0.0337
1953,-0.0309,-0.0309
1954,-0.0226,-0.0226
1955,-0.0303,-0.0303
1956,-0.0389,-0.0389
1957,-0.0356,-0.0356
1958,-0.0186,-0.0186
1959,-0.0336,-0.0336
1960,-0.0451,-0.0451
1961,-0.0363,-0.0363
1962,-0.0416,-0.0416
1963,-0.0458,-0.0458
1964,-0.039,-0.039
1965,-0.0378,-0.0378
1966,-0.0429,-0.0429
1967,-0.033,-0.033
1968,-0.0361,-0.0361
1969,-0.0467,-0.0467
1970,-0.0274,-0.0274
1971,-0.0124,-0.0124
1972,-0.0219,-0.0219
1973,-0.0264,-0.0264
1974,-0.0189,-0.0189
1975,0.0144,0.0144
1976,0.0033,0.0033
1977,-0.0055,-0.0055
1978,-0.0146,-0.0146
1979,-0.0191,-0.0191
1980,-0.0079,-0.0079
1981,-0.0161,-0.0161
1982,-0.0023,-0.0023
1983,0.003,0.003
1984,-0.0087,-0.0087
1985,-0.0121,-0.0121
1986,-0.0111,-0.0111
1987,-0.0194,-0.0194
1988,-0.022,-0.022
1989,-0.0219,-0.0219
1990,-0.0152,-0.0152
1991,-0.0022,-0.0022
1992,0.0065,0.0065
1993,0.0068,0.0068
1994,0.0007,0.0007
1995,0.001,0.001
1996,-0.0047,-0.0047
1997,-0.0135,-0.0135
1998,-0.0223,-0.0223
1999,-0.0261,-0.0261
2000,-0.0303,-0.0303
2001,-0.0161,-0.0161
2002,0.0102,0.0102
2003,0.0187,0.0187
2004,0.0185,0.0185
2005,0.0112,0.0112
2006,0.0083,0.0083
2007,0.0087,0.0087
2008,0.0292,0.0292
2009,0.0701,0.0701
2010,0.0763,0.0763
2011,0.0674,0.0674
2012,0.0592,0.0592
2013,0.043,0.043
2014,0.0394,0.0394
2015,0.0365,0.0365
2016,0.0375,0.0375
2017,0.0336,0.0336
2018,0.0347,0.0347
2019,0.0355,0.0355
2020,0.0923,0.0923
2021,0.084,0.084
2022,0.0343,0.0343
2023,0.0474,0.0474
2024,0.0496,0.0496
2025,0.0503,0.0503
